time,value,index,predicted_value,stepwise_value
0.0,80.0,1,,
0.002,79.13633307373382,2,,
0.004,79.90743460187986,3,,
0.006,80.41482843739551,4,,
0.008,80.67028805939826,5,,
0.01,80.72772153421177,6,,
0.012,80.58845561984042,7,,
0.014,80.59450568121629,8,,
0.016,81.11614595154042,9,,
0.018,80.64634037971433,10,,
0.02,80.41685182460421,11,,
0.022,80.83687075538913,12,,
0.024,80.99291274462175,13,,
0.026,80.49837214222542,14,,
0.028,80.30091231043784,15,,
0.03,80.47332948990736,16,,
0.032,80.32037336925805,17,,
0.034,80.27693000021554,18,,
0.036,80.96712091177577,19,,
0.038,81.16492191468583,20,,
0.04,80.97688451411157,21,,
0.042,80.24106340925674,22,,
0.044,80.24271813111262,23,,
0.046,79.4736245376574,24,,
0.048,79.62155104123946,25,,
0.05,79.88091374685622,26,,
0.052,79.23096361180569,27,,
0.054,79.64954295142496,28,,
0.056,79.47825281688837,29,,
0.058,78.64314524328248,30,,
0.06,79.02181483437579,31,,
0.062,78.81868066446022,32,,
0.064,78.88936337018472,33,,
0.066,78.60969169431024,34,,
0.068,78.41613601971704,35,,
0.07,78.32901111297963,36,,
0.072,78.23169282764465,37,,
0.074,78.0823209971151,38,,
0.076,77.99891838588337,39,,
0.078,78.31100212811778,40,,
0.08,78.29980480962392,41,78.49594950576747,77.2508041010228
0.082,78.83872163672959,42,78.43209589526775,77.2508041010228
0.084,79.07365111931261,43,78.36824228476802,77.2508041010228
0.086,78.63935275738604,44,78.3043886742683,77.2508041010228
0.088,78.83023715389665,45,78.24053506376856,77.2508041010228
0.09,78.31067694863877,46,78.17668145326884,77.2508041010228
0.092,79.0918603641565,47,78.11282784276911,77.2508041010228
0.094,78.9284486721459,48,78.04897423226939,77.2508041010228
0.096,78.82154503655211,49,77.98512062176965,77.2508041010228
0.098,78.93692951911102,50,77.92126701126993,77.2508041010228
0.1,78.54422196755635,51,77.8574134007702,77.2508041010228
0.102,78.62224553692454,52,77.79355979027048,77.2508041010228
0.104,79.36643902178145,53,77.72970617977074,77.2508041010228
0.106,79.28859637149685,54,77.66585256927102,77.2508041010228
0.108,79.07856332219127,55,77.60199895877129,77.2508041010228
0.11,78.23737792448105,56,77.53814534827157,77.2508041010228
